timecode,clip,beat,role,cut_seconds,generated_seconds,trim_seconds,subject,note
0:00.0,IN-01,INTRO,ESTABLISH,6.5,15,8.5,—,"Set the place. Cut out the moment it reads — these run long by design."
0:06.5,IN-02,INTRO,ESTABLISH,5.0,12,7.0,—,"Set the place. Cut out the moment it reads — these run long by design."
0:11.5,IN-03,INTRO,ESTABLISH,5.0,12,7.0,—,"Set the place. Cut out the moment it reads — these run long by design."
0:16.5,IN-04,INTRO,ESTABLISH,5.0,12,7.0,—,"Set the place. Cut out the moment it reads — these run long by design."
0:21.5,IN-05,INTRO,ESTABLISH,5.0,12,7.0,—,"Set the place. Cut out the moment it reads — these run long by design."
0:26.5,IN-06,INTRO,BUILD,7.5,12,4.5,president,"The scene. Carry the line; trim to the words plus a breath."
0:34.0,IN-07,INTRO,INSERT,4.5,10,5.5,handler,"A cutaway. Short. It exists to hide a join or land a joke."
0:38.5,IN-08,INTRO,APPROACH,7.0,10,3.0,handler,"He registers you. Cut INTO the turn on the matching head angle — this join should be invisible."
0:45.5,IN-09,INTRO,TURN,14.5,15,0.5,handler,"The fourth wall. Do not trim the head of this one; the rotation is the shot."
1:00.0,IN-10,INTRO,HOLD,8.0,10,2.0,handler,"He lands it. Hold past comfortable, then cut on the card."
1:08.0,IN-11,INTRO,OUT,6.5,12,5.5,—,"The exit. Cut on the hit — the music is doing the work here."
1:14.5,— MARKER —,INTRO,CARD,,,,,"GRAND THEFT AFTER-DARK — “THE SCORE” — title slam. No game; the title card, then the music slams in."
1:14.5,S1-01,SCENE 1,ESTABLISH,2.5,12,9.5,—,"Set the place. Cut out the moment it reads — these run long by design."
1:17.0,S1-02,SCENE 1,BUILD,5.0,15,10.0,—,"The scene. Carry the line; trim to the words plus a breath."
1:22.0,S1-03,SCENE 1,BUILD,5.0,15,10.0,mcgraw,"The scene. Carry the line; trim to the words plus a breath."
1:27.0,S1-04,SCENE 1,BUILD,4.0,12,8.0,mcgraw,"The scene. Carry the line; trim to the words plus a breath."
1:31.0,S1-05,SCENE 1,APPROACH,3.5,10,6.5,mcgraw,"He registers you. Cut INTO the turn on the matching head angle — this join should be invisible."
1:34.5,S1-06,SCENE 1,TURN,7.5,15,7.5,mcgraw,"The fourth wall. Do not trim the head of this one; the rotation is the shot."
1:42.0,S1-07,SCENE 1,TURN,6.0,12,6.0,mcgraw,"The fourth wall. Do not trim the head of this one; the rotation is the shot."
1:48.0,S1-08,SCENE 1,HOLD,3.5,8,4.5,mcgraw,"He lands it. Hold past comfortable, then cut on the card."
1:51.5,S1-09,SCENE 1,OUT,3.0,10,7.0,—,"The exit. Cut on the hit — the music is doing the work here."
1:54.5,— MARKER —,SCENE 1,CARD,,,,,"THE INTERROGATION — Eight questions. Answer fast, don't crack. Phones out; top score talks first."
1:54.5,S2-01,SCENE 2,ESTABLISH,2.5,12,9.5,—,"Set the place. Cut out the moment it reads — these run long by design."
1:57.0,S2-02,SCENE 2,BUILD,5.0,15,10.0,problem,"The scene. Carry the line; trim to the words plus a breath."
2:02.0,S2-03,SCENE 2,BUILD,3.5,12,8.5,—,"The scene. Carry the line; trim to the words plus a breath."
2:05.5,S2-04,SCENE 2,BUILD,3.5,12,8.5,marcus,"The scene. Carry the line; trim to the words plus a breath."
2:09.0,S2-05,SCENE 2,APPROACH,3.5,10,6.5,marcus,"He registers you. Cut INTO the turn on the matching head angle — this join should be invisible."
2:12.5,S2-06,SCENE 2,TURN,8.0,15,7.0,marcus,"The fourth wall. Do not trim the head of this one; the rotation is the shot."
2:20.5,S2-07,SCENE 2,TURN,6.0,12,6.0,marcus,"The fourth wall. Do not trim the head of this one; the rotation is the shot."
2:26.5,S2-08,SCENE 2,HOLD,4.0,8,4.0,marcus,"He lands it. Hold past comfortable, then cut on the card."
2:30.5,S2-09,SCENE 2,OUT,3.5,12,8.5,—,"The exit. Cut on the hit — the music is doing the work here."
2:34.0,— MARKER —,SCENE 2,CARD,,,,,"THE JOYRIDE — Phone up, that's your car. Grab cash, dodge everything. Every hit is a star."
2:34.0,S3-01,SCENE 3,ESTABLISH,2.5,12,9.5,—,"Set the place. Cut out the moment it reads — these run long by design."
2:36.5,S3-02,SCENE 3,BUILD,3.5,12,8.5,sugar,"The scene. Carry the line; trim to the words plus a breath."
2:40.0,S3-03,SCENE 3,BUILD,5.0,15,10.0,rico,"The scene. Carry the line; trim to the words plus a breath."
2:45.0,S3-04,SCENE 3,BUILD,5.5,12,6.5,rico,"The scene. Carry the line; trim to the words plus a breath."
2:50.5,S3-05,SCENE 3,INSERT,1.5,8,6.5,—,"A cutaway. Short. It exists to hide a join or land a joke."
2:52.0,S3-06,SCENE 3,APPROACH,4.0,12,8.0,rico,"He registers you. Cut INTO the turn on the matching head angle — this join should be invisible."
2:56.0,S3-07,SCENE 3,TURN,7.0,15,8.0,rico,"The fourth wall. Do not trim the head of this one; the rotation is the shot."
3:03.0,S3-08,SCENE 3,TURN,5.5,12,6.5,rico,"The fourth wall. Do not trim the head of this one; the rotation is the shot."
3:08.5,S3-09,SCENE 3,HOLD,3.5,8,4.5,rico,"He lands it. Hold past comfortable, then cut on the card."
3:12.0,S3-10,SCENE 3,OUT,2.5,10,7.5,—,"The exit. Cut on the hit — the music is doing the work here."
3:14.5,— MARKER —,SCENE 3,CARD,,,,,"CROSSFIRE — Three lives. Drag and weave. Last one standing owns the night."
